Country Name,CCA3,Year,Population,Country Name_wb,Country Code,Region,IncomeGroup,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
Morocco,MAR,1960,12328532.0,Morocco,MAR,Middle East & North Africa,Lower middle income,50.979,18.464,,2037150000.0,164.801,,143.9,48.458,,
Monaco,MCO,1960,22452.0,Monaco,MCO,Europe & Central Asia,High income: nonOECD,,,,,,,,,,
Moldova,MDA,1960,2544000.0,Moldova,MDA,Europe & Central Asia,Lower middle income,27.698,11.646,,,,,,61.995,,
Madagascar,MDG,1960,5099373.0,Madagascar,MDG,Sub-Saharan Africa,Low income,48.704,24.851,,673082000.0,131.993,,,39.962,,
Maldives,MDV,1960,89887.0,Maldives,MDV,South Asia,Upper middle income,54.707,28.044,,,,0.0,,37.343,,
Mexico,MEX,1960,38174112.0,Mexico,MEX,Latin America & Caribbean,Upper middle income,45.179,12.27,,13040000000.0,345.231,,103.7,57.077,,
Marshall Islands,MHL,1960,14662.0,Marshall Islands,MHL,East Asia & Pacific,Upper middle income,,,,,,,85.8,,,
"Macedonia, FYR",MKD,1960,1488667.0,North Macedonia,MKD,Europe & Central Asia,Upper middle income,29.665,10.58,,,,,,60.633,,
Mali,MLI,1960,5263733.0,Mali,MLI,Sub-Saharan Africa,Low income,50.189,36.838,,,,,,28.199,,
Malta,MLT,1960,326550.0,Malta,MLT,Middle East & North Africa,High income: nonOECD,26.2,8.6,,,,,36.4,69.4332,,
Myanmar,MMR,1960,20986123.0,Myanmar,MMR,East Asia & Pacific,Lower middle income,43.583,21.953,,,,,,42.381,,
Montenegro,MNE,1960,480579.0,Montenegro,MNE,Europe & Central Asia,Upper middle income,29.553,9.9,,,,,,63.82,,
Mongolia,MNG,1960,955505.0,Mongolia,MNG,East Asia & Pacific,Upper middle income,45.987,19.855,,,,,,48.392,,
Northern Mariana Islands,MNP,1960,10035.0,Northern Mariana Islands,MNP,East Asia & Pacific,High income: nonOECD,,,,,,,,,,
Mozambique,MOZ,1960,7388695.0,Mozambique,MOZ,Sub-Saharan Africa,Low income,46.143,24.27,,,,,,39.439,,
Mauritania,MRT,1960,858168.0,Mauritania,MRT,Sub-Saharan Africa,Lower middle income,49.341,19.87,,92609200.0,108.903,,130.5,44.432,,
Mauritius,MUS,1960,659351.0,Mauritius,MUS,Sub-Saharan Africa,Upper middle income,44.208,9.813,,,,,67.8,58.7452,,
Malawi,MWI,1960,3618595.0,Malawi,MWI,Sub-Saharan Africa,Low income,51.405,27.937,,162957000.0,44.5239,,,36.672,,
Malaysia,MYS,1960,8157106.0,Malaysia,MYS,East Asia & Pacific,Upper middle income,42.691,10.477,,1916240000.0,234.939,,67.3,59.991,,
Namibia,NAM,1960,602544.0,Namibia,NAM,Sub-Saharan Africa,Upper middle income,42.17,18.925,,,,,,46.483,,
New Caledonia,NCL,1960,79000.0,New Caledonia,NCL,East Asia & Pacific,High income: nonOECD,34.0,10.1,,,,,,58.639,,
Niger,NER,1960,3388764.0,Niger,NER,Sub-Saharan Africa,Low income,58.122,28.885,,449527000.0,132.652,,,35.053,,
Nigeria,NGA,1960,45137812.0,Nigeria,NGA,Sub-Saharan Africa,Lower middle income,46.335,26.381,,4196090000.0,92.9605,,,36.976,,
Nicaragua,NIC,1960,1774699.0,Nicaragua,NIC,Latin America & Caribbean,Lower middle income,51.819,18.737,,223855000.0,126.248,,130.9,46.998,,
Netherlands,NLD,1960,11486631.0,Netherlands,NLD,Europe & Central Asia,High income: OECD,20.8,7.6,1353.4,12276700000.0,1068.78,,16.5,73.3927,,
Norway,NOR,1960,3581239.0,Norway,NOR,Europe & Central Asia,High income: OECD,17.3,9.1,7681.14,5163270000.0,1441.76,,18.4,73.5498,,
Nepal,NPL,1960,10063011.0,Nepal,NPL,South Asia,Low income,44.818,27.248,,508334000.0,50.305,,216.1,35.583,,
New Zealand,NZL,1960,2371800.0,New Zealand,NZL,East Asia & Pacific,High income: OECD,26.5,8.8,2457.21,5485850000.0,2312.95,,22.5,71.2366,,
Oman,OMN,1960,551740.0,Oman,OMN,Middle East & North Africa,High income: nonOECD,49.347,22.457,,,,,,42.672,,
Pakistan,PAK,1960,44908293.0,Pakistan,PAK,South Asia,Lower middle income,44.111,20.675,,3707060000.0,82.3997,,185.7,45.299,,
Panama,PAN,1960,1132921.0,Panama,PAN,Latin America & Caribbean,Upper middle income,41.429,9.873,,537147100.0,474.094,,65.3,60.864,,
Peru,PER,1960,10061515.0,Peru,PER,Latin America & Caribbean,Upper middle income,46.923,18.439,,2571910000.0,253.265,,135.7,48.012,,
Philippines,PHL,1960,26273025.0,Philippines,PHL,East Asia & Pacific,Lower middle income,44.302,9.692,,6684570000.0,254.459,,66.6,61.105,,
Palau,PLW,1960,9642.0,Palau,PLW,East Asia & Pacific,Upper middle income,,,,,,,,,,
Papua New Guinea,PNG,1960,2010677.0,Papua New Guinea,PNG,East Asia & Pacific,Lower middle income,42.434,25.101,,230496000.0,102.177,,133.0,38.935,,
Poland,POL,1960,29637450.0,Poland,POL,Europe & Central Asia,High income: OECD,22.6,7.6,904.565,,,,58.0,67.6805,,
Puerto Rico,PRI,1960,2358000.0,Puerto Rico,PRI,Latin America & Caribbean,High income: nonOECD,32.4,6.7,,1691900000.0,717.515,,,68.7196,,
"Korea, Dem. People’s Rep.",PRK,1960,11424176.0,North Korea,PRK,East Asia & Pacific,Low income,37.139,14.165,,,,,,51.297,,
Portugal,PRT,1960,8857716.0,Portugal,PRT,Europe & Central Asia,High income: OECD,24.1,10.7,320.173,3193200000.0,360.499,,84.2,63.2729,,
Paraguay,PRY,1960,1902875.0,Paraguay,PRY,Latin America & Caribbean,Upper middle income,41.958,8.23,,,,,60.8,63.881,,
French Polynesia,PYF,1960,78076.0,French Polynesia,PYF,East Asia & Pacific,High income: nonOECD,41.275,11.001,,,,,,56.282,,
Qatar,QAT,1960,47384.0,Qatar,QAT,Middle East & North Africa,High income: nonOECD,42.381,9.398,,,,,,61.094,,
Romania,ROU,1960,18406905.0,Romania,ROU,Europe & Central Asia,Upper middle income,19.1,8.7,,,,,,65.6424,,
Russian Federation,RUS,1960,119897000.0,Russian Federation,RUS,Europe & Central Asia,High income: nonOECD,23.788,8.304,,,,,,66.0553,,
Rwanda,RWA,1960,2933428.0,Rwanda,RWA,Sub-Saharan Africa,Low income,51.999,22.734,,119000024.0,40.5371,,130.2,42.616,,
Saudi Arabia,SAU,1960,4086539.0,Saudi Arabia,SAU,Middle East & North Africa,High income: nonOECD,47.577,20.319,,,,,,45.638,,
Sudan,SDN,1960,7544491.0,Sudan,SDN,Sub-Saharan Africa,Lower middle income,46.7,17.551,0.0,1307330000.0,125.86,,106.5,48.194,,
Senegal,SEN,1960,3206749.0,Senegal,SEN,Sub-Saharan Africa,Lower middle income,50.326,26.023,,1003690000.0,312.994,,128.5,38.223,,
Singapore,SGP,1960,1646400.0,Singapore,SGP,East Asia & Pacific,High income: nonOECD,37.5,6.2,,704756000.0,428.059,,35.4,65.6598,,
Solomon Islands,SLB,1960,117866.0,Solomon Islands,SLB,East Asia & Pacific,Lower middle income,40.776,16.184,,,,,127.2,48.123,,
Sierra Leone,SLE,1960,2297110.0,Sierra Leone,SLE,Sub-Saharan Africa,Low income,46.929,32.3,,322009000.0,138.939,,222.1,31.566,,
El Salvador,SLV,1960,2762899.0,El Salvador,SLV,Latin America & Caribbean,Lower middle income,47.301,17.066,,,,,125.3,49.95,,
San Marino,SMR,1960,15397.0,San Marino,SMR,Europe & Central Asia,High income: nonOECD,,,,,,,,,,
Somalia,SOM,1960,2755947.0,Somalia,SOM,Sub-Saharan Africa,Low income,47.63,26.748,,180460000.0,65.4796,,,36.976,,
South Sudan,SSD,1960,2955152.0,South Sudan,SSD,Sub-Saharan Africa,Low income,50.657,32.512,,,,,,31.697,,
Sao Tome and Principe,STP,1960,64253.0,Sao Tome and Principe,STP,Sub-Saharan Africa,Lower middle income,47.671,17.807,,,,,,50.378,,
Suriname,SUR,1960,289966.0,Suriname,SUR,Latin America & Caribbean,Upper middle income,45.082,11.358,,99650000.0,346.162,,,59.682,,
Slovak Republic,SVK,1960,4068095.0,Slovak Republic,SVK,Europe & Central Asia,High income: OECD,21.7,7.8,,,,,,69.9237,,
Slovenia,SVN,1960,1584720.0,Slovenia,SVN,Europe & Central Asia,High income: OECD,17.6,9.6,,,,,,68.978,,
Sweden,SWE,1960,7484656.0,Sweden,SWE,Europe & Central Asia,High income: OECD,13.7,10.0,4002.32,14842900000.0,1983.11,,16.3,73.0056,,
Swaziland,SWZ,1960,349174.0,Eswatini,SWZ,Sub-Saharan Africa,Lower middle income,47.524,20.743,,35076200.0,104.213,,141.5,43.572,,
Seychelles,SYC,1960,41700.0,Seychelles,SYC,Sub-Saharan Africa,High income: nonOECD,,,,12012000.0,288.058,,75.0,,,
Syrian Arab Republic,SYR,1960,4573512.0,Syrian Arab Republic,SYR,Middle East & North Africa,Lower middle income,48.441,16.102,,857704000.0,187.537,0.0,116.9,51.971,,
Turks and Caicos Islands,TCA,1960,5726.0,Turks and Caicos Islands,TCA,Latin America & Caribbean,High income: nonOECD,,,,,,,,,,
Chad,TCD,1960,3001593.0,Chad,TCD,Sub-Saharan Africa,Low income,45.764,26.537,,313583000.0,104.472,,,38.02,,
Togo,TGO,1960,1580513.0,Togo,TGO,Sub-Saharan Africa,Low income,47.479,24.13,,121128000.0,76.6385,0.0,159.7,40.297,,
Thailand,THA,1960,27397175.0,Thailand,THA,East Asia & Pacific,Upper middle income,42.735,13.18,,2760750000.0,100.767,0.0,101.3,54.701,,
Tajikistan,TJK,1960,2087038.0,Tajikistan,TJK,Europe & Central Asia,Lower middle income,48.647,18.235,,,,,,50.613,,
Turkmenistan,TKM,1960,1603258.0,Turkmenistan,TKM,Europe & Central Asia,Upper middle income,45.71,15.946,,,,,,54.471,,
Timor-Leste,TLS,1960,499950.0,Timor-Leste,TLS,East Asia & Pacific,Lower middle income,46.066,29.006,,,,,,33.729,,
Tonga,TON,1960,61601.0,Tonga,TON,East Asia & Pacific,Upper middle income,47.187,9.951,,,,,,59.885,,
Trinidad and Tobago,TTO,1960,848479.0,Trinidad and Tobago,TTO,Latin America & Caribbean,High income: nonOECD,37.354,9.026,,535670000.0,631.702,,55.8,62.222,,
Tunisia,TUN,1960,4176266.0,Tunisia,TUN,Middle East & North Africa,Upper middle income,45.486,23.264,,,,,,42.021,,
Turkey,TUR,1960,27472331.0,Turkey,TUR,Europe & Central Asia,Upper middle income,45.393,20.281,92.311,13995100000.0,509.424,,172.3,45.369,,
