Country,Year,Population,Next Population,Growth Rate,Country Code,Region,IncomeGroup,"Birth rate, crude (per 1,000 people)","Death rate, crude (per 1,000 people)",Electric power consumption (kWh per capita),GDP (USD),GDP per capita (USD),Individuals using the Internet (% of population),"Infant mortality rate (per 1,000 live births)",Life expectancy at birth (years),Population density (people per sq. km of land area),Unemployment (% of total labor force) (modeled ILO estimate)
Cameroon,2010,19878036,23012646.0,0.15769213819715389,CMR,Sub-Saharan Africa,Lower middle income,39.42,11.583,261.488,26143800000.0,1285.26,4.3,67.1,55.101,43.0311,4.11
Cameroon,2015,23012646,,,CMR,Sub-Saharan Africa,Lower middle income,36.964,10.046,,30916200000.0,1326.97,20.6801,55.7,57.583,49.2868,3.539
Canada,1970,21434577,24511510.0,0.14354997535057493,CAN,North America,High income: OECD,17.4,7.3,8962.2,87896100000.0,4121.93,,18.5,72.7005,2.34497,
Canada,1980,24511510,27657204.0,0.1283353820307276,CAN,North America,High income: OECD,15.4,7.1,12804.0,274000000000.0,11170.6,,10.3,75.078,2.69595,
Canada,1990,27657204,30683313.0,0.1094148562522806,CAN,North America,High income: OECD,15.0,7.3,16167.4,594000000000.0,21448.4,0.361,6.8,77.422,3.04515,
Canada,2000,30683313,33963412.0,0.10690172211846875,CAN,North America,High income: OECD,10.7,7.1,17037.1,742000000000.0,24190.2,51.3,5.3,79.1366,3.37446,6.829
Canada,2010,33963412,35732126.0,0.052077041022851295,CAN,North America,High income: OECD,11.1,7.0,15269.7,1610000000000.0,47450.3,80.3,4.9,81.2463,3.73947,8.056
Canada,2015,35732126,,,CAN,North America,High income: OECD,10.7,7.4,,1550000000000.0,43495.1,90.0,4.6,81.9,3.9262,6.906
Central African Republic,1970,2067356,2415276.0,0.1682922534870627,CAF,Sub-Saharan Africa,Low income,42.492,22.859,,189107000.0,104.413,,137.5,42.223,2.90723,
Central African Republic,1980,2415276,2809221.0,0.1631055829644314,CAF,Sub-Saharan Africa,Low income,41.984,17.401,,797048000.0,362.401,,119.6,49.153,3.53038,
Central African Republic,1990,2809221,3759170.0,0.3381538867892558,CAF,Sub-Saharan Africa,Low income,42.004,16.833,,1440710000.0,513.305,0.0,116.9,49.104,4.50534,
Central African Republic,2000,3759170,4660067.0,0.2396531681195583,CAF,Sub-Saharan Africa,Low income,41.347,19.212,,914500000.0,251.207,0.0533942,111.2,44.19,5.84357,7.591
Central African Republic,2010,4660067,4819333.0,0.03417676183625686,CAF,Sub-Saharan Africa,Low income,38.905,16.329,,2140500000.0,487.945,2.0,101.4,47.312,7.04159,6.926
Central African Republic,2015,4819333,,,CAF,Sub-Saharan Africa,Low income,36.454,13.621,,1709220000.0,380.404,3.8,90.7,50.881,7.21238,6.754
Chad,1970,3667394,4408230.0,0.20200611115140615,TCD,Sub-Saharan Africa,Low income,46.916,23.404,,469267000.0,128.792,,,41.344,2.89175,
Chad,1980,4408230,5827069.0,0.32186138200592984,TCD,Sub-Saharan Africa,Low income,49.75,20.886,,1033000000.0,228.822,,123.3,44.793,3.58516,
Chad,1990,5827069,8259137.0,0.4173741549997091,TCD,Sub-Saharan Africa,Low income,50.992,18.937,,1738610000.0,291.553,0.0,111.7,47.019,4.73575,
Chad,2000,8259137,11894727.0,0.440190058598132,TCD,Sub-Saharan Africa,Low income,50.941,17.732,,1385060000.0,165.763,0.0357071,100.5,47.713,6.63568,1.277
Chad,2010,11894727,14140274.0,0.1887850809858856,TCD,Sub-Saharan Africa,Low income,46.603,14.598,,10657700000.0,891.699,1.7,84.9,50.89,9.49185,1.619
Chad,2015,14140274,,,TCD,Sub-Saharan Africa,Low income,43.73,12.77,,10946000000.0,775.708,3.5,76.5,53.137,11.2063,2.172
Chile,1970,9820481,11469828.0,0.1679497165159222,CHL,Latin America & Caribbean,High income: OECD,28.821,8.823,,9126310000.0,932.862,,67.0,62.254,13.1576,
Chile,1980,11469828,13342868.0,0.16330148978694362,CHL,Latin America & Caribbean,High income: OECD,23.555,6.429,902.766,29036700000.0,2542.76,,27.8,69.033,15.3582,
Chile,1990,13342868,15351799.0,0.15056215800081363,CHL,Latin America & Caribbean,High income: OECD,22.286,5.54,1237.62,33113900000.0,2494.53,0.0,16.1,73.509,17.8535,
Chile,2000,15351799,17004162.0,0.10763318357672609,CHL,Latin America & Caribbean,High income: OECD,16.556,5.335,2499.29,77860900000.0,5074.9,16.6,9.2,76.366,20.6344,10.491
Chile,2010,17004162,17870124.0,0.05092647317756676,CHL,Latin America & Caribbean,High income: OECD,14.613,5.631,3306.95,219000000000.0,12808.0,45.0,7.4,78.779,22.948,8.424
Chile,2015,17870124,,,CHL,Latin America & Caribbean,High income: OECD,13.369,5.917,,244000000000.0,13574.2,76.63,6.7,79.646,24.1676,6.508
China,1970,822534450,982372466.0,0.19432379519180018,CHN,East Asia & Pacific,Upper middle income,33.43,7.6,,92603000000.0,113.163,,80.0,59.085,87.1637,
China,1980,982372466,1153704252.0,0.17440613609380212,CHN,East Asia & Pacific,Upper middle income,18.21,6.34,281.625,191000000000.0,194.805,,48.0,66.844,104.517,
China,1990,1153704252,1264099069.0,0.09568727584094923,CHN,East Asia & Pacific,Upper middle income,21.06,6.67,510.62,361000000000.0,317.885,0.0,42.1,69.145,120.916,
China,2000,1264099069,1348191368.0,0.0665235036258064,CHN,East Asia & Pacific,Upper middle income,14.03,6.45,992.943,1210000000000.0,959.372,1.77591,30.1,71.397,134.492,3.3
China,2010,1348191368,1393715448.0,0.033766779020053775,CHN,East Asia & Pacific,Upper middle income,11.9,7.11,2943.59,6090000000000.0,4550.45,34.3,13.6,74.409,142.488,4.5
China,2015,1393715448,,,CHN,East Asia & Pacific,Upper middle income,12.07,7.11,,11000000000000.0,8033.39,50.3,9.2,75.928,146.058,4.6
Colombia,1970,20905254,26176195.0,0.2521347504316379,COL,Latin America & Caribbean,Upper middle income,36.525,8.322,,7198360000.0,335.118,,70.6,62.152,19.3601,
Colombia,1980,26176195,32601393.0,0.24545958646778113,COL,Latin America & Caribbean,Upper middle income,31.196,6.286,637.274,33400700000.0,1241.64,,44.8,66.926,24.2456,
Colombia,1990,32601393,39215135.0,0.20286685295931986,COL,Latin America & Caribbean,Upper middle income,27.136,5.698,871.594,47844100000.0,1445.33,0.0,28.9,69.75,29.8356,
Colombia,2000,39215135,44816108.0,0.14282681928801214,COL,Latin America & Caribbean,Upper middle income,22.256,5.189,845.597,99886600000.0,2520.48,2.20753,21.1,72.945,35.7188,20.52
Colombia,2010,44816108,47119728.0,0.051401607654105085,COL,Latin America & Caribbean,Upper middle income,16.779,5.247,1094.56,286000000000.0,6326.55,36.5,15.8,75.424,40.7595,10.984
Colombia,2015,47119728,,,COL,Latin America & Caribbean,Upper middle income,15.515,5.41,,293000000000.0,6175.88,55.905,13.5,76.531,42.8307,8.299
Comoros,1970,242351,328328.0,0.3547623075621722,COM,Sub-Saharan Africa,Low income,45.509,19.293,,,,,151.5,45.642,123.618,
Comoros,1980,328328,431119.0,0.3130741210009503,COM,Sub-Saharan Africa,Low income,45.84,15.691,,212218000.0,689.403,,118.9,50.615,165.411,
Comoros,1990,431119,536758.0,0.24503443364825025,COM,Sub-Saharan Africa,Low income,42.558,11.508,,429622000.0,1043.8,0.0,88.0,56.677,221.168,
Comoros,2000,536758,656024.0,0.2221969677210214,COM,Sub-Saharan Africa,Low income,37.497,9.501,,350264000.0,645.819,0.271741,73.2,59.46,291.433,4.666
Comoros,2010,656024,730216.0,0.11309342341133861,COM,Sub-Saharan Africa,Low income,35.209,8.244,,907093000.0,1315.21,5.1,63.8,61.862,370.603,4.231
Comoros,2015,730216,,,COM,Sub-Saharan Africa,Low income,33.328,7.491,,988150000.0,1271.06,7.45916,56.0,63.471,417.745,3.99
Costa Rica,1970,1855697,2414303.0,0.30102220351706127,CRI,Latin America & Caribbean,Upper middle income,32.43,6.733,,984830000.0,533.092,,61.0,65.844,36.1808,
Costa Rica,1980,2414303,3158253.0,0.3081427641849428,CRI,Latin America & Caribbean,Upper middle income,29.93,4.603,931.39,4831450000.0,2021.55,,19.8,72.113,46.8072,
Costa Rica,1990,3158253,3979193.0,0.25993484372531267,CRI,Latin America & Caribbean,Upper middle income,27.394,3.947,1071.99,5711690000.0,1831.0,0.0,14.2,75.654,61.0935,
Costa Rica,2000,3979193,4622252.0,0.16160538078952189,CRI,Latin America & Caribbean,Upper middle income,19.335,3.959,1506.93,14949500000.0,3772.87,5.80025,11.1,77.452,77.6023,5.082
Costa Rica,2010,4622252,4895242.0,0.05905995605605233,CRI,Latin America & Caribbean,Upper middle income,15.719,4.521,1887.98,37268600000.0,8141.91,36.5,8.7,78.769,89.647,7.171
Costa Rica,2015,4895242,,,CRI,Latin America & Caribbean,Upper middle income,14.762,4.862,,54776000000.0,11299.1,59.763,7.8,79.565,94.9433,8.999
Croatia,1970,4492638,4680144.0,0.04173628055498796,HRV,Europe & Central Asia,High income: nonOECD,13.8,10.0,,,,,,68.2005,78.917,
Croatia,1980,4680144,4873707.0,0.04135834282022092,HRV,Europe & Central Asia,High income: nonOECD,14.8,10.9,,,,,,70.1754,82.2712,
Croatia,1990,4873707,4548434.0,-0.06674036826588058,HRV,Europe & Central Asia,High income: nonOECD,11.6,10.9,2966.28,,,0.0,11.2,72.1705,85.4475,
Croatia,2000,4548434,4368682.0,-0.03951953573471661,HRV,Europe & Central Asia,High income: nonOECD,9.8,11.2,2828.82,21774300000.0,4873.05,6.64488,7.2,72.8078,79.9195,16.064
Croatia,2010,4368682,4254815.0,-0.02606438280469945,HRV,Europe & Central Asia,High income: nonOECD,9.8,11.8,3922.31,59866000000.0,13937.1,56.55,4.7,76.4756,76.7589,11.62
Croatia,2015,4254815,,,HRV,Europe & Central Asia,High income: nonOECD,8.9,12.9,,49519000000.0,11780.1,69.8031,4.2,77.2756,75.118,16.175
Cuba,1970,8869636,9809107.0,0.10591990471762314,CUB,Latin America & Caribbean,Upper middle income,29.383,6.729,,5693010000.0,653.427,,32.3,69.809,81.1224,
Cuba,1980,9809107,10626680.0,0.08334836188452222,CUB,Latin America & Caribbean,Upper middle income,16.278,5.927,840.046,19912900000.0,2021.72,,18.3,73.794,91.7082,
Cuba,1990,10626680,11105791.0,0.04508567115976015,CUB,Latin America & Caribbean,Upper middle income,16.487,7.046,1212.33,28645400000.0,2703.17,0.0,10.9,74.638,98.6684,
Cuba,2000,11105791,11290417.0,0.016624299881026035,CUB,Latin America & Caribbean,Upper middle income,13.069,7.165,1137.92,30565400000.0,2747.1,0.541183,6.8,76.699,103.598,5.45
Cuba,2010,11290417,11339894.0,0.004382211923616285,CUB,Latin America & Caribbean,Upper middle income,11.16,7.721,1303.16,64328000000.0,5730.35,15.9,4.7,78.338,105.466,2.5
Cuba,2015,11339894,,,CUB,Latin America & Caribbean,Upper middle income,10.822,8.502,,87133000000.0,7694.01,37.3051,4.1,78.561,108.871,2.4
Curacao,1970,150385,156851.0,0.04299630947235429,CUW,Latin America & Caribbean,High income: nonOECD,,,,,,,,,325.989,
Curacao,1980,156851,155446.0,-0.008957545696234005,CUW,Latin America & Caribbean,High income: nonOECD,,,4877.03,,,,,,333.426,
Curacao,1990,155446,141424.0,-0.09020495863515304,CUW,Latin America & Caribbean,High income: nonOECD,,,4663.0,,,,,,327.477,
Curacao,2000,141424,159380.0,0.12696572010408416,CUW,Latin America & Caribbean,High income: nonOECD,,,7291.2,,,,,,301.486,
Curacao,2010,159380,169572.0,0.06394779771615008,CUW,Latin America & Caribbean,High income: nonOECD,13.6,8.4,7471.27,,,,,,334.917,
Curacao,2015,169572,,,CUW,Latin America & Caribbean,High income: nonOECD,11.9,8.8,,3151910000.0,19951.3,,,78.0756,355.811,
Cyprus,1970,640804,679327.0,0.060116665938414866,CYP,Europe & Central Asia,High income: nonOECD,19.107,7.445,,,,,,72.576,66.4089,
Cyprus,1980,679327,788500.0,0.16070758265165377,CYP,Europe & Central Asia,High income: nonOECD,19.876,7.649,1415.22,2154310000.0,4232.02,,19.1,74.79,74.178,
Cyprus,1990,788500,948237.0,0.20258338617628407,CYP,Europe & Central Asia,High income: nonOECD,19.049,6.987,2430.16,5591130000.0,9641.58,0.0,9.9,76.554,82.967,
Cyprus,2000,948237,1129686.0,0.19135406021912243,CYP,Europe & Central Asia,High income: nonOECD,13.2,6.847,3373.3,9985840000.0,14388.3,15.2554,5.7,78.009,102.088,4.967
Cyprus,2010,1129686,1187280.0,0.05098230835825176,CYP,Europe & Central Asia,High income: nonOECD,11.517,6.756,4585.61,25562300000.0,30818.5,52.99,2.9,79.43,120.413,6.263
Cyprus,2015,1187280,,,CYP,Europe & Central Asia,High income: nonOECD,11.011,6.838,,19680600000.0,23217.5,71.7159,2.2,80.35,125.648,14.908
Czech Republic,1970,9795744,10270060.0,0.04842062022037326,CZE,Europe & Central Asia,High income: OECD,15.0,12.5,,,,,,69.4402,127.58,
Czech Republic,1980,10270060,10301192.0,0.0030313357468213426,CZE,Europe & Central Asia,High income: OECD,14.9,13.2,4585.12,,,,,70.278,133.353,
Czech Republic,1990,10301192,10234710.0,-0.0064538162185502415,CZE,Europe & Central Asia,High income: OECD,12.6,12.5,5600.41,40477400000.0,3917.16,0.0,10.4,71.3839,133.73,
Czech Republic,2000,10234710,10464749.0,0.022476357415109956,CZE,Europe & Central Asia,High income: OECD,8.9,10.6,5703.82,61649500000.0,6011.62,9.78053,4.5,74.9683,132.717,8.762
Czech Republic,2010,10464749,10523798.0,0.005642658032218451,CZE,Europe & Central Asia,High income: OECD,11.2,10.2,6348.42,207000000000.0,19808.1,68.82,2.7,77.4244,135.609,7.279
Czech Republic,2015,10523798,,,CZE,Europe & Central Asia,High income: OECD,10.5,10.5,,187000000000.0,17715.6,75.6688,2.5,78.578,136.589,5.046
Denmark,1970,4922963,5125392.0,0.04111934215227699,DNK,Europe & Central Asia,High income: OECD,14.4,9.8,2893.22,17075500000.0,3464.46,,13.9,73.3434,116.327,
Denmark,1980,5125392,5144623.0,0.003752103253760883,DNK,Europe & Central Asia,High income: OECD,11.2,10.9,4599.23,71127500000.0,13883.9,,8.3,74.1017,120.883,
Denmark,1990,5144623,5340655.0,0.038104249815778535,DNK,Europe & Central Asia,High income: OECD,12.3,11.9,5944.83,138000000000.0,26891.4,0.0972773,7.4,74.8054,121.277,
Denmark,2000,5340655,5550849.0,0.03935734474516703,DNK,Europe & Central Asia,High income: OECD,12.6,10.9,6482.49,164000000000.0,30743.5,39.1724,4.6,76.5927,125.845,4.476
Denmark,2010,5550849,5677796.0,0.02286983486670237,DNK,Europe & Central Asia,High income: OECD,11.4,9.8,6327.51,322000000000.0,58041.4,88.72,3.5,79.1,130.749,7.464
Denmark,2015,5677796,,,DNK,Europe & Central Asia,High income: OECD,10.2,9.2,,303000000000.0,53254.9,96.3305,3.6,80.7024,135.353,6.168
Djibouti,1970,144379,324121.0,1.2449317421508668,DJI,Middle East & North Africa,Lower middle income,45.106,15.163,,,,,,49.16,6.88779,
Djibouti,1980,324121,577173.0,0.7807331212726112,DJI,Middle East & North Africa,Lower middle income,41.27,11.974,,,,,116.9,53.639,15.4858,
Djibouti,1990,577173,742033.0,0.28563359685917394,DJI,Middle East & North Africa,Lower middle income,39.777,10.72,,452328000.0,766.141,0.0,91.9,56.678,25.4701,
Djibouti,2000,742033,919199.0,0.23875757547171084,DJI,Middle East & North Africa,Lower middle income,31.48,10.227,,551231000.0,768.176,0.194501,80.1,57.022,30.957,13.636
Djibouti,2010,919199,1006259.0,0.0947128967720809,DJI,Middle East & North Africa,Lower middle income,25.255,9.156,,1128610000.0,1343.27,6.5,62.4,60.062,36.2467,12.477
Djibouti,2015,1006259,,,DJI,Middle East & North Africa,Lower middle income,22.921,7.842,,1633740000.0,1787.48,11.9224,54.2,64.136,39.4302,11.094
Dominican Republic,1970,4475871,5755800.0,0.28596199488323054,DOM,Latin America & Caribbean,Upper middle income,41.757,10.735,,1485500000.0,330.132,,86.9,58.093,93.1426,
Dominican Republic,1980,5755800,7129004.0,0.23857743493519581,DOM,Latin America & Caribbean,Upper middle income,34.088,7.818,441.253,6761300000.0,1164.95,,63.8,62.861,120.139,
Dominican Republic,1990,7129004,8540791.0,0.19803425555659668,DOM,Latin America & Caribbean,Upper middle income,29.568,6.59,391.253,7073680000.0,991.614,0.0,46.5,66.574,147.661,
Dominican Republic,2000,8540791,9775755.0,0.14459597477563846,DOM,Latin America & Caribbean,Upper middle income,24.771,6.117,1327.77,24305100000.0,2869.11,3.70469,33.1,69.429,175.353,6.432
Dominican Republic,2010,9775755,10405832.0,0.06445302690175848,DOM,Latin America & Caribbean,Upper middle income,21.398,6.03,1394.83,53982900000.0,5568.05,31.4,28.2,72.046,200.686,5.212
Dominican Republic,2015,10405832,,,DOM,Latin America & Caribbean,Upper middle income,20.32,6.081,,68802100000.0,6691.72,54.2158,26.0,73.241,212.827,7.605
Ecuador,1970,6172215,8135845.0,0.31814024624871295,ECU,Latin America & Caribbean,Upper middle income,40.985,11.887,,2862500000.0,471.631,,95.6,58.203,21.9238,
Ecuador,1980,8135845,10449837.0,0.2844193811460272,ECU,Latin America & Caribbean,Upper middle income,34.624,8.501,359.611,17881500000.0,2238.21,,66.8,63.512,28.8585,
Ecuador,1990,10449837,12626507.0,0.20829702893930307,ECU,Latin America & Caribbean,Upper middle income,29.912,6.167,480.699,15239300000.0,1489.53,0.0,42.2,68.899,36.9561,
Ecuador,2000,12626507,14989585.0,0.18715215538232388,ECU,Latin America & Caribbean,Upper middle income,25.503,5.182,634.881,18327800000.0,1445.28,1.46219,24.3,72.761,51.0594,4.799
Ecuador,2010,14989585,16195902.0,0.08047701120477985,ECU,Latin America & Caribbean,Upper middle income,21.471,5.072,1137.96,69555400000.0,4633.59,29.03,15.7,75.089,60.441,4.088
Ecuador,2015,16195902,,,ECU,Latin America & Caribbean,Upper middle income,20.432,5.096,,99290400000.0,6124.49,48.9404,13.0,76.143,65.2763,3.616
El Salvador,1970,3619090,4508992.0,0.24589109417008143,SLV,Latin America & Caribbean,Lower middle income,42.878,13.14,,1132920000.0,308.44,,103.7,54.998,176.166,
El Salvador,1980,4508992,5367179.0,0.19032790477339503,SLV,Latin America & Caribbean,Lower middle income,37.486,11.679,273.571,3573960000.0,778.448,,76.3,56.394,221.58,
El Salvador,1990,5367179,5958482.0,0.11017016574256235,SLV,Latin America & Caribbean,Lower middle income,31.215,8.103,352.367,4817540000.0,914.131,0.0,46.2,64.0,254.347,
El Salvador,2000,5958482,6114034.0,0.0261059779990944,SLV,Latin America & Caribbean,Lower middle income,24.931,6.772,614.986,11784900000.0,2001.54,1.1774,27.2,68.875,284.167,6.96
El Salvador,2010,6114034,6231066.0,0.019141535686585977,SLV,Latin America & Caribbean,Lower middle income,19.654,6.848,857.068,18447900000.0,2983.23,15.9,16.5,71.21,298.45,4.893
El Salvador,2015,6231066,,,SLV,Latin America & Caribbean,Lower middle income,18.734,6.959,,23438200000.0,3705.58,26.8026,13.2,72.412,305.267,4.0
Equatorial Guinea,1970,316955,282509.0,-0.108677888028269,GNQ,Sub-Saharan Africa,High income: nonOECD,41.467,25.969,,66331400.0,218.208,,,39.848,10.8371,
Equatorial Guinea,1980,282509,465549.0,0.6479085622050978,GNQ,Sub-Saharan Africa,High income: nonOECD,43.264,21.094,,50642900.0,202.629,,,44.127,8.91012,
Equatorial Guinea,1990,465549,684977.0,0.471331696556109,GNQ,Sub-Saharan Africa,High income: nonOECD,42.085,17.449,,112119000.0,267.468,0.0,121.4,48.775,14.9443,
Equatorial Guinea,2000,684977,1094524.0,0.5978989075545602,GNQ,Sub-Saharan Africa,High income: nonOECD,41.136,13.686,,1046000000.0,1725.55,0.132355,107.7,53.279,21.6107,8.063
Equatorial Guinea,2010,1094524,1346973.0,0.23064729507987033,GNQ,Sub-Saharan Africa,High income: nonOECD,37.604,11.273,,16298500000.0,17272.0,6.0,79.6,55.622,33.6413,8.238
Equatorial Guinea,2015,1346973,,,GNQ,Sub-Saharan Africa,High income: nonOECD,34.768,10.002,,13180200000.0,11278.9,21.32,68.3,57.359,41.6602,8.907
Eritrea,1970,1272748,1657982.0,0.3026789278003187,ERI,Sub-Saharan Africa,Low income,46.683,20.733,,,,,,43.156,12.9797,
Eritrea,1980,1657982,2149960.0,0.29673301640186683,ERI,Sub-Saharan Africa,Low income,45.254,17.768,,,,,114.4,46.654,17.1625,
Eritrea,1990,2149960,2392880.0,0.11298814861671845,ERI,Sub-Saharan Africa,Low income,41.58,15.826,,,,0.0,93.6,49.588,22.3629,
Eritrea,2000,2392880,3147727.0,0.31545543445555146,ERI,Sub-Saharan Africa,Low income,32.518,11.43,75.03,706371000.0,308.134,0.136712,56.3,55.273,22.6972,6.861
Eritrea,2010,3147727,3340006.0,0.06108503056332395,ERI,Sub-Saharan Africa,Low income,36.25,8.764,85.7926,2117040000.0,667.744,0.61,39.2,62.193,31.3904,6.899
Eritrea,2015,3340006,,,ERI,Sub-Saharan Africa,Low income,32.191,7.686,,,,1.08373,34.1,64.664,,6.807
Estonia,1970,1361999,1476983.0,0.08442296947354587,EST,Europe & Central Asia,High income: OECD,15.8,11.2,,,,,,69.9371,32.0848,
Estonia,1980,1476983,1570674.0,0.06343404087927891,EST,Europe & Central Asia,High income: OECD,15.0,12.3,,,,,17.7,68.9056,34.8483,
Estonia,1990,1570674,1396877.0,-0.11065122361483032,EST,Europe & Central Asia,High income: OECD,14.2,12.4,5755.89,,,0.0,14.0,69.4756,37.0176,
Estonia,2000,1396877,1331535.0,-0.046777203719439865,EST,Europe & Central Asia,High income: OECD,9.4,13.2,4540.49,5685770000.0,4070.03,28.577,8.7,70.4171,32.9555,13.36
Estonia,2010,1331535,1314657.0,-0.012675596210388761,EST,Europe & Central Asia,High income: OECD,11.9,11.9,6506.32,19490900000.0,14638.6,74.1,3.6,75.4293,31.4101,16.707
Estonia,2015,1314657,,,EST,Europe & Central Asia,High income: OECD,10.6,11.6,,22904500000.0,17412.4,88.4097,2.5,77.5902,30.2601,6.187
Eswatini,1970,442865,598564.0,0.3515721495263794,SWZ,Sub-Saharan Africa,Lower middle income,49.959,17.494,,112138000.0,260.028,,118.0,48.128,25.0728,
Eswatini,1980,598564,854011.0,0.42676639423687357,SWZ,Sub-Saharan Africa,Lower middle income,49.28,12.009,,542001000.0,921.992,,81.8,55.613,34.1778,
Eswatini,1990,854011,1030496.0,0.20665424684225378,SWZ,Sub-Saharan Africa,Lower middle income,38.946,7.587,,1114700000.0,1355.39,0.0,53.6,61.95,47.8151,
Eswatini,2000,1030496,1099920.0,0.06736949973604944,SWZ,Sub-Saharan Africa,Lower middle income,32.318,14.877,,1738100000.0,1728.71,0.926192,79.8,47.49,58.4555,24.909
Eswatini,2010,1099920,1133936.0,0.030925885518946834,SWZ,Sub-Saharan Africa,Lower middle income,30.39,16.233,,4438780000.0,4168.51,11.04,59.3,46.601,61.9091,27.309
Eswatini,2015,1133936,,,SWZ,Sub-Saharan Africa,Lower middle income,27.579,11.235,,4020280000.0,3641.41,25.643,47.9,55.359,64.1886,23.643
Ethiopia,1970,28308246,34945469.0,0.23446253081169352,ETH,Sub-Saharan Africa,Low income,48.075,21.269,,,,,144.0,42.944,28.4151,
Ethiopia,1980,34945469,47878073.0,0.3700795659660484,ETH,Sub-Saharan Africa,Low income,48.97,21.337,18.0697,,,,141.4,43.747,35.1417,
Ethiopia,1990,47878073,67031867.0,0.4000535694074404,ETH,Sub-Saharan Africa,Low income,47.479,18.141,22.5945,12175200000.0,254.243,0.0,120.1,47.099,47.8879,
Ethiopia,2000,67031867,89237791.0,0.3312741386123111,ETH,Sub-Saharan Africa,Low income,43.728,14.024,22.7558,8242390000.0,124.461,0.0152638,87.8,51.941,66.2248,3.441
Ethiopia,2010,89237791,102471895.0,0.14830156430026378,ETH,Sub-Saharan Africa,Low income,35.861,8.441,48.2999,29933800000.0,341.554,0.75,54.8,61.627,87.64,2.39
Ethiopia,2015,102471895,,,ETH,Sub-Saharan Africa,Low income,33.635,7.017,,64464500000.0,639.304,13.8552,43.8,65.048,100.835,2.014
Fiji,1970,527634,644582.0,0.22164606526493744,FJI,East Asia & Pacific,Upper middle income,33.891,6.998,,219878000.0,422.387,,44.6,62.492,28.4927,
Fiji,1980,644582,780430.0,0.2107536356894856,FJI,East Asia & Pacific,Upper middle income,33.702,6.828,,1202570000.0,1892.89,,35.5,63.997,34.7732,
Fiji,1990,780430,832509.0,0.06673116102661353,FJI,East Asia & Pacific,Upper middle income,28.888,6.557,,1337020000.0,1835.13,0.0,24.4,65.379,39.8781,
Fiji,2000,832509,905169.0,0.08727833572970382,FJI,East Asia & Pacific,Upper middle income,24.738,6.939,,1684110000.0,2076.57,1.49685,19.3,65.687,44.39,4.146
Fiji,2010,905169,917200.0,0.013291440603909325,FJI,East Asia & Pacific,Upper middle income,22.292,8.007,,3140510000.0,3652.53,20.0,20.2,66.655,47.0617,4.352
Fiji,2015,917200,,,FJI,East Asia & Pacific,Upper middle income,21.983,8.172,,4682550000.0,5390.75,42.5,20.8,67.103,47.5439,4.548
Finland,1970,4606621,4779418.0,0.03751057445359625,FIN,Europe & Central Asia,High income: OECD,14.0,9.6,4570.91,11366000000.0,2467.48,,13.2,70.1795,15.123,
Finland,1980,4779418,4986545.0,0.0433372849999728,FIN,Europe & Central Asia,High income: OECD,13.2,9.3,8295.79,53685000000.0,11232.3,,7.1,73.44,15.6917,
Finland,1990,4986545,5176209.0,0.03803515259563486,FIN,Europe & Central Asia,High income: OECD,13.1,10.0,12485.7,142000000000.0,28380.5,0.401088,5.5,74.8132,16.371,
Finland,2000,5176209,5363271.0,0.03613880351430941,FIN,Europe & Central Asia,High income: OECD,11.0,9.5,15305.4,126000000000.0,24253.3,37.2485,3.5,77.4659,16.994,11.134
Finland,2010,5363271,5479461.0,0.021664018096419144,FIN,Europe & Central Asia,High income: OECD,11.4,9.5,16484.1,248000000000.0,46202.4,86.89,2.5,79.8707,17.6484,8.394
Finland,2015,5479461,,,FIN,Europe & Central Asia,High income: OECD,10.1,9.6,,233000000000.0,42494.7,86.4221,1.8,81.4805,18.0301,9.376
France,1970,50523586,53713830.0,0.0631436573009683,FRA,Europe & Central Asia,High income: OECD,17.0,10.8,2626.92,148000000000.0,2857.25,,15.1,71.6585,94.8885,
France,1980,53713830,56412897.0,0.050249014080731166,FRA,Europe & Central Asia,High income: OECD,14.0,10.2,4421.98,701000000000.0,12713.4,,10.2,74.0512,100.74,
France,1990,56412897,58665453.0,0.039929805413113244,FRA,Europe & Central Asia,High income: OECD,13.4,9.3,5969.02,1270000000000.0,21793.8,0.0527779,7.4,76.6,106.354,
France,2000,58665453,62444567.0,0.06441804855747044,FRA,Europe & Central Asia,High income: OECD,13.3,8.9,7224.53,1360000000000.0,22364.0,14.3079,4.4,79.0561,111.242,10.217
France,2010,62444567,63809769.0,0.02186262257211264,FRA,Europe & Central Asia,High income: OECD,12.9,8.5,7734.73,2640000000000.0,40638.3,77.28,3.5,81.6634,118.759,8.871
France,2015,63809769,,,FRA,Europe & Central Asia,High income: OECD,12.0,8.9,,2440000000000.0,36613.4,78.01,3.4,82.322,121.619,10.359
French Polynesia,1970,117891,163591.0,0.38764621557201145,PYF,East Asia & Pacific,High income: nonOECD,35.104,8.641,,254036000.0,2299.07,,,60.183,30.1899,
French Polynesia,1980,163591,211089.0,0.29034604593162217,PYF,East Asia & Pacific,High income: nonOECD,30.789,6.537,,1362150000.0,8885.47,,,64.576,41.8855,
French Polynesia,1990,211089,250927.0,0.18872608236336333,PYF,East Asia & Pacific,High income: nonOECD,28.411,5.428,,3181210000.0,15913.6,0.0,,68.704,54.6189,
French Polynesia,2000,250927,283788.0,0.13095840622970026,PYF,East Asia & Pacific,High income: nonOECD,20.172,4.787,,3447540000.0,14323.8,6.35706,,72.303,65.7612,11.707
